"Município";"Pib"
"Alta Floresta D'Oeste (RO)";"734469"
"Ariquemes (RO)";"3209761"
"Cabixi (RO)";"238412"
"Cacoal (RO)";"2792383"
"Cerejeiras (RO)";"743037"
"Colorado do Oeste (RO)";"424807"
"Corumbiara (RO)";"396728"
"Costa Marques (RO)";"316671"
"Espigão D'Oeste (RO)";"773381"
"Guajará-Mirim (RO)";"1054179"
"Jaru (RO)";"1765089"
"Ji-Paraná (RO)";"4231113"
"Machadinho D'Oeste (RO)";"890320"
"Nova Brasilândia D'Oeste (RO)";"548734"
"Ouro Preto do Oeste (RO)";"985868"
"Pimenta Bueno (RO)";"1642516"
"Porto Velho (RO)";"20059522"
"Presidente Médici (RO)";"559990"
"Rio Crespo (RO)";"184430"
"Rolim de Moura (RO)";"1565194"
"Santa Luzia D'Oeste (RO)";"213556"
"Vilhena (RO)";"4215046"
"São Miguel do Guaporé (RO)";"905335"
"Nova Mamoré (RO)";"742687"
"Alvorada D'Oeste (RO)";"352628"
"Alto Alegre dos Parecis (RO)";"483672"
"Alto Paraíso (RO)";"510361"
"Buritis (RO)";"966552"
"Novo Horizonte do Oeste (RO)";"231502"
"Cacaulândia (RO)";"275338"
"Campo Novo de Rondônia (RO)";"369377"
"Candeias do Jamari (RO)";"655606"
"Castanheiras (RO)";"99627"
"Chupinguaia (RO)";"468793"
"Cujubim (RO)";"487480"
"Governador Jorge Teixeira (RO)";"239330"
"Itapuã do Oeste (RO)";"210031"
"Ministro Andreazza (RO)";"297878"
"Mirante da Serra (RO)";"262640"
"Monte Negro (RO)";"389891"
"Nova União (RO)";"157321"
"Parecis (RO)";"155434"
"Pimenteiras do Oeste (RO)";"246209"
"Primavera de Rondônia (RO)";"107030"
"São Felipe D'Oeste (RO)";"130676"
"São Francisco do Guaporé (RO)";"488043"
"Seringueiras (RO)";"332987"
"Teixeirópolis (RO)";"121301"
"Theobroma (RO)";"257426"
"Urupá (RO)";"273501"
"Vale do Anari (RO)";"220588"
"Vale do Paraíso (RO)";"185648"
"Acrelândia (AC)";"398725"
"Assis Brasil (AC)";"133916"
"Brasiléia (AC)";"685636"
"Bujari (AC)";"300830"
"Capixaba (AC)";"512353"
"Cruzeiro do Sul (AC)";"2058630"
"Epitaciolândia (AC)";"644542"
"Feijó (AC)";"567040"
"Jordão (AC)";"113975"
"Mâncio Lima (AC)";"269205"
"Manoel Urbano (AC)";"184904"
"Marechal Thaumaturgo (AC)";"256865"
"Plácido de Castro (AC)";"601471"
"Porto Walter (AC)";"160535"
"Rio Branco (AC)";"10955675"
"Rodrigues Alves (AC)";"255649"
"Santa Rosa do Purus (AC)";"108545"
