,Cidade,UF,Região,População,Pib
0,ABADIA DE GOIAS,GO,Centro-Oeste,19128.0,19128.0
1,ABADIA DOS DOURADOS,MG,Sudeste,6272.0,6272.0
2,ABADIANIA,GO,Centro-Oeste,17232.0,17232.0
3,ABAETE,MG,Sudeste,22675.0,22675.0
4,ABAIARA,CE,Nordeste,10038.0,10038.0
5,ABAIRA,BA,Nordeste,7301.0,7301.0
6,ABARE,BA,Nordeste,17639.0,17639.0
7,ABATIA,PR,Sul,7241.0,7241.0
8,ABDON BATISTA,SC,Sul,2598.0,2598.0
9,ABEL FIGUEIREDO,PA,Norte,6136.0,6136.0
10,ABELARDO LUZ,SC,Sul,17392.0,17392.0
11,ABRE CAMPO,MG,Sudeste,13927.0,13927.0
12,ABREULANDIA,TO,Norte,2576.0,2576.0
13,ACAIACA,MG,Sudeste,3909.0,3909.0
14,ACARA,PA,Norte,59023.0,59023.0
15,ACARAPE,CE,Nordeste,14027.0,14027.0
16,ACARAU,CE,Nordeste,65264.0,65264.0
17,ACARI,RN,Nordeste,10597.0,10597.0
18,ACAUA,PI,Nordeste,6420.0,6420.0
19,ACEGUA,RS,Sul,4170.0,4170.0
20,ACOPIARA,CE,Nordeste,44962.0,44962.0
21,ACREUNA,GO,Centro-Oeste,21568.0,21568.0
22,ACU,RN,Nordeste,56496.0,56496.0
23,ACUCENA,MG,Sudeste,8943.0,8943.0
24,ADELANDIA,GO,Centro-Oeste,2297.0,2297.0
25,ADUSTINA,BA,Nordeste,14201.0,14201.0
26,AFONSO BEZERRA,RN,Nordeste,10839.0,10839.0
27,AFONSO CUNHA,MA,Nordeste,6144.0,6144.0
28,AFRANIO,PE,Nordeste,18674.0,18674.0
29,AFUA,PA,Norte,37765.0,37765.0
30,AGRICOLANDIA,PI,Nordeste,4940.0,4940.0
31,AGROLANDIA,SC,Sul,10990.0,10990.0
32,AGRONOMICA,SC,Sul,6055.0,6055.0
33,AGUA BRANCA,AL,Nordeste,19008.0,19008.0
34,AGUA BRANCA,PB,Nordeste,9335.0,9335.0
35,AGUA BRANCA,PI,Nordeste,17573.0,17573.0
36,AGUA DOCE,SC,Sul,6508.0,6508.0
37,AGUA DOCE DO MARANHAO,MA,Nordeste,12142.0,12142.0
38,AGUA DOCE DO NORTE,ES,Sudeste,12042.0,12042.0
39,AGUA FRIA,BA,Nordeste,14497.0,14497.0
40,AGUA FRIA DE GOIAS,GO,Centro-Oeste,4954.0,4954.0
41,AGUA LIMPA,GO,Centro-Oeste,1858.0,1858.0
42,AGUA NOVA,RN,Nordeste,2946.0,2946.0
43,AGUA PRETA,PE,Nordeste,26461.0,26461.0
44,AGUA SANTA,RS,Sul,3912.0,3912.0
45,AGUAS BELAS,PE,Nordeste,41548.0,41548.0
46,AGUAS DE CHAPECO,SC,Sul,6036.0,6036.0
47,AGUAS DE LINDOIA,SP,Sudeste,17930.0,17930.0
48,AGUAS FRIAS,SC,Sul,2839.0,2839.0
49,AGUAS MORNAS,SC,Sul,6743.0,6743.0
50,AGUDOS DO SUL,PR,Sul,10233.0,10233.0
51,AGUIA BRANCA,ES,Sudeste,9711.0,9711.0
52,AGUIAR,PB,Nordeste,5003.0,5003.0
53,AGUIARNOPOLIS,TO,Norte,4497.0,4497.0
54,AIQUARA,BA,Nordeste,4447.0,4447.0
55,AIUABA,CE,Nordeste,14076.0,14076.0
56,AIURUOCA,MG,Sudeste,6233.0,6233.0
57,AJURICABA,RS,Sul,6720.0,6720.0
58,ALAGOA,MG,Sudeste,2749.0,2749.0
59,ALAGOA GRANDE,PB,Nordeste,26062.0,26062.0
60,ALAGOA NOVA,PB,Nordeste,21013.0,21013.0
61,ALAGOINHA,PB,Nordeste,13725.0,13725.0
62,ALAGOINHA,PE,Nordeste,13542.0,13542.0
63,ALAGOINHA DO PIAUI,PI,Nordeste,6819.0,6819.0
64,ALAMBARI,SP,Sudeste,6141.0,6141.0
65,ALBERTINA,MG,Sudeste,2952.0,2952.0
66,ALCANTARA,MA,Nordeste,18467.0,18467.0
67,ALCANTARAS,CE,Nordeste,11369.0,11369.0
68,ALCANTIL,PB,Nordeste,5578.0,5578.0
69,ALDEIAS ALTAS,MA,Nordeste,23286.0,23286.0
70,ALECRIM,RS,Sul,6123.0,6123.0
71,ALEGRE,ES,Sudeste,29177.0,29177.0
72,ALEGRETE DO PIAUI,PI,Nordeste,4634.0,4634.0
73,ALEGRIA,RS,Sul,3651.0,3651.0
74,ALEM PARAIBA,MG,Sudeste,30717.0,30717.0
75,ALENQUER,PA,Norte,69377.0,69377.0
76,ALEXANDRIA,RN,Nordeste,13640.0,13640.0
77,ALEXANIA,GO,Centro-Oeste,27008.0,27008.0
78,ALFREDO MARCONDES,SP,Sudeste,4445.0,4445.0
79,ALFREDO VASCONCELOS,MG,Sudeste,6931.0,6931.0
80,ALFREDO WAGNER,SC,Sul,10481.0,10481.0
81,ALGODAO DE JANDAIRA,PB,Nordeste,2953.0,2953.0
82,ALHANDRA,PB,Nordeste,21730.0,21730.0
83,ALIANCA DO TOCANTINS,TO,Norte,5147.0,5147.0
84,ALMADINA,BA,Nordeste,5218.0,5218.0
85,ALMEIRIM,PA,Norte,34280.0,34280.0
86,ALMENARA,MG,Sudeste,40364.0,40364.0
87,ALMINO AFONSO,RN,Nordeste,4687.0,4687.0
88,ALMIRANTE TAMANDARE DO SUL,RS,Sul,1969.0,1969.0
89,ALOANDIA,GO,Centro-Oeste,1973.0,1973.0
90,ALPESTRE,RS,Sul,7117.0,7117.0
91,ALTAMIRA DO MARANHAO,MA,Nordeste,6447.0,6447.0
92,ALTAMIRA DO PARANA,PR,Sul,3590.0,3590.0
93,ALTANEIRA,CE,Nordeste,6782.0,6782.0
94,ALTO ALEGRE,RR,Norte,21096.0,21096.0
95,ALTO ALEGRE,RS,Sul,1800.0,1800.0
96,ALTO ALEGRE DO MARANHAO,MA,Nordeste,24048.0,24048.0
97,ALTO ALEGRE DO PINDARE,MA,Nordeste,25710.0,25710.0
98,ALTO BELA VISTA,SC,Sul,1856.0,1856.0
99,ALTO CAPARAO,MG,Sudeste,5795.0,5795.0
100,ALTO DO RODRIGUES,RN,Nordeste,12484.0,12484.0
101,ALTO JEQUITIBA,MG,Sudeste,8397.0,8397.0
102,ALTO LONGA,PI,Nordeste,13479.0,13479.0
103,ALTO PARAISO,PR,Sul,3055.0,3055.0
104,ALTO PARAISO DE GOIAS,GO,Centro-Oeste,10306.0,10306.0
105,ALTO PARNAIBA,MA,Nordeste,11109.0,11109.0
106,ALTO PIQUIRI,PR,Sul,9727.0,9727.0
